[1/9 19:09:11] Players: 18, RAMused: 56.55 MB
[1/9 19:05:28] Players: 18, RAMused: 74.41 MB
[1/9 19:02:28] Players: 17, RAMused: 73.79 MB
[1/9 18:59:28] Players: 17, RAMused: 74.45 MB
[1/9 18:56:28] Players: 17, RAMused: 74.4 MB
[1/9 18:53:28] Players: 17, RAMused: 73.3 MB
[1/9 18:50:28] Players: 17, RAMused: 73.68 MB
[1/9 18:47:28] Players: 19, RAMused: 73.07 MB
[1/9 18:44:28] Players: 19, RAMused: 72.9 MB
[1/9 18:41:27] Players: 20, RAMused: 72.47 MB
[1/9 18:38:28] Players: 20, RAMused: 71.95 MB
[1/9 18:35:27] Players: 20, RAMused: 70.96 MB
[1/9 18:32:28] Players: 20, RAMused: 68.72 MB
[1/9 18:29:28] Players: 21, RAMused: 71.8 MB
[1/9 18:26:28] Players: 18, RAMused: 71.09 MB
[1/9 18:23:28] Players: 17, RAMused: 71.16 MB
[1/9 18:20:28] Players: 17, RAMused: 70.67 MB
[1/9 18:17:28] Players: 18, RAMused: 70.2 MB
[1/9 18:14:28] Players: 21, RAMused: 70.54 MB
[1/9 18:11:28] Players: 21, RAMused: 75.61 MB
[1/9 18:08:28] Players: 21, RAMused: 75.63 MB
[1/9 18:05:27] Players: 21, RAMused: 74.56 MB
[1/9 18:02:28] Players: 22, RAMused: 74.29 MB
[1/9 17:59:28] Players: 22, RAMused: 73.54 MB
[1/9 17:56:27] Players: 22, RAMused: 73.6 MB
[1/9 17:53:27] Players: 22, RAMused: 72.36 MB
[1/9 17:50:27] Players: 22, RAMused: 72.78 MB
[1/9 17:47:27] Players: 21, RAMused: 71.43 MB
[1/9 17:44:28] Players: 21, RAMused: 71.84 MB
[1/9 17:41:28] Players: 20, RAMused: 69.88 MB
